NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
1	19.9	19.9		19.9	19.9	17.92	.0994975
1	35.4	35.4		35.4	35.4	35.6933	.0082853
1	49.3	49.3		49.3	49.3	46.27	.0614604
1	162.9	162.9		162.9	162.9	225.03	.3813996
1	366.6	366.6		366.6	366.6	243.15	.3367431
1	23.8	23.8		23.8	23.8	16.97	.2869748
1	2.7	2.7		2.7	2.7	5.93	1.196296
1	41.5	41.5		41.5	41.5	46.155	.1121687
1	51.5	51.5		51.5	51.5	54.82	.064466
1	79.7	79.7		79.7	79.7	137.3195	.7229548
2	177.1	177.1	6.7	181.8	172.3	157.81	.1089215
2	250.9	250.9	2.8	252.8	248.9	137.0718	.4536796
2	141.1	141.1	20.3	155.4	126.7	37.83	.7318923
1	34.5	34.5		34.5	34.5	-88.54	3.566377
1	10.1	10.1		10.1	10.1	10.21	.0108911
1	68.1	68.1		68.1	68.1	92.91	.3643172
1	102.8	102.8		102.8	102.8	98.09	.0458171
1	117.6	117.6		117.6	117.6	87.63	.2548469
1	120.1	120.1		120.1	120.1	122.06	.0163197
1	127.7	127.7		127.7	127.7	128.79	.0085356
1	135.6	135.6		135.6	135.6	120.7307	.1096556
1	248.5	248.5		248.5	248.5	308.37	.2409256
2	30.4	30.4	.4	30.7	30.1	-445.77	15.66349
3	179.5	200.9	48.6	256.5	166.7	288.94	.6096936
2			2.7				2.55404
2	44.7	44.7	.5	45.1	44.4	51.52	.1525727
7	66.4	66.1	6.1	77.4	58.3	18.6556	.7190422
1	4.3	4.3		4.3	4.3	4.12	.0418605
2	193.6	193.6	37.7	220.2	166.9		
1	76.2	76.2		76.2	76.2	107.56	.4115486
1	7.7	7.7		7.7	7.7	-111.9111	15.53391
1	74.9	74.9		74.9	74.9	-88.18	2.177303
1	79.8	79.8		79.8	79.8	55.06	.3100251
1	94.8	94.8		94.8	94.8	107.3851	.1327542
1	121.1	121.1		121.1	121.1	125.04	.0325351
2	141.6	141.6	2.7	143.5	139.7	119.7744	.1541356
1	30.4	30.4		30.4	30.4	28.71	.0555921
1	36	36		36	36	42.525	.18125
2	46.2	46.2	4.2	49.1	43.2	42.55	.0790043
1	21.2	21.2		21.2	21.2	2.597	.8775
1	0	0		0	0	-1.5613	
6	27.3	28	5.3	34.6	20.5		
1	58.4	58.4		58.4	58.4		
1	15.3	15.3		15.3	15.3	-12.0723	1.789039
1	4.4	4.4		4.4	4.4	6.57	.4931818
2	35.6	35.6	0	35.6	35.6	40.96	.1505618
2	91.2	91.2	11.5	99.3	83	93.2422	.0223925
2	83.7	83.7	19.5	97.5	70	55.35	.3387097
2	47.1	47.1	7.2	52.2	42	61.58	.307431
4	82.2	83.3	3.5	88.4	80.4	60.5078	.2638954
3	44.8	44.7	6.2	50.8	38.4	47.0496	.0502143
3	56	56.2	3.3	59.6	53	49.94	.1082143
2	54.1	54.1	1.6	55.3	53	47.7004	.118292
1	88.6	88.6		88.6	88.6	-42.3854	1.478391
1	10.2	10.2		10.2	10.2	-7.09	1.695098
1	22.8	22.8		22.8	22.8	18.5	.1885965
1	15.7	15.7		15.7	15.7	-6.79	1.432484
2	82.2	82.2	12.1	90.7	73.6	103.57	.2599757
2	66.8	66.8	9.3	73.3	60.2	74.5434	.1159192
2	81.2	81.2	16.9	93.1	69.2	94.39	.1624384
1	36.3	36.3		36.3	36.3	43.81	.2068871
3	57.8	56.7	2	57.9	54.4	57.3805	.0072578
3	58.8	59.6	2.5	62.4	57.6	71.12	.2095238
1	125.5	125.5		125.5	125.5	119.0267	.0515801
1	129	129		129	129	74.92	.4192248
1	74	74		74	74	29.6208	.5997189
1	1.3	1.3		1.3	1.3	2.7	1.076923
1	50.9	50.9		50.9	50.9	52.6295	.0339784
7	145.1	142.9	17.4	164.6	112.9	-25.8408	1.17809
1	3.6	3.6		3.6	3.6		
1	4.4	4.4		4.4	4.4	3.4235	.2219318
1	10.8	10.8		10.8	10.8	9.8469	.08825
1	6.7	6.7		6.7	6.7	4.1383	.3823433
1	7.5	7.5		7.5	7.5	5.4533	.2728933
1	11.1	11.1		11.1	11.1	11.855	.068018
3	12.6	13.4	1.6	15.3	12.4	11.83	.0611111
4	24.5	30.6	12.6	49.6	24	22.87	.0665306
6	25.5	25.6	2.7	29.2	21.1		
4	28.5	27.1	3.4	29.4	22.1	24.09	.1547368
5	22.2	22.8	1.1	24.6	22	18.15	.1824324
3	28.6	28.7	3.1	31.9	25.7	8.77	.6933566
3	18.5	19.1	5.5	24.9	13.9	-44.78	3.420541
2	5.9	5.9	.2	6.1	5.8	9.0124	.5275254
1	17.2	17.2		17.2	17.2		
1	48.6	48.6		48.6	48.6	48.88	.0057613
2	62	62	1.5	63.1	61	67.17	.0833871
